OID_,Join_Count,TARGET_FID,Station_Id,Station_Name,Fuel_Type,Address,City,State,Zipcode,Zipcode_Route,Directions,Country,Phone_Number,Current_Status,Availability_Date,Accessability,Access_Details,Access_Hours,Payment_Methods,Ownership_Type,Federal_Owner,Biodiesel_Blends,E85_Blender_Pump,E85_Ethanol_Blends,CNG_Dispensers,CNG_Fill_Type,CNG_Pressures,CNG_Renewable_Source,CNG_Compression,CNG_Storage,CNG_Vehicle_Size,LNG_Renewable_Source,LNG_Vehicle_Size,LPG_Nozzle_Types,LPG_Primary_Station,RD_Blends,RD_Blended_With_Biodiesel,RD_Max_Biodiesel,EV_Level1_EVSE_Ports,EV_Level2_EVSE_Ports,EV_DC_Fast_Ports,EV_Other_EVSE_Ports,EV_Connector_Types,EV_Network,EV_Network_Id,EV_Network_Link,EV_Pricing,EV_Renewable_Source,HY_Is_Retail,HY_Pressures,HY_Standards,HY_Status_Link,Geocode_Status,Latitude,Longitude,Open_Date,Date_Last_Confirmed,Date_Last_Update,facility_type,Directions_French,Access_Hours_French,Biodiesel_Blends_French,RD_Blends_French,EV_Pricing_French,Restricted_Access,geoName,customGeo,centrLat,centrLon,sqmi,destin,dest_sqmi
3421,1,3421,40593,Victor Building Parking Garage,ELEC,750 9th St NW,Washington,DC,20001,,Located on the first level,US,,E,,Private,,24 hours daily; for tenant use only. Drivers must bring their own J1772 cordset for Level 1 charging,,P,,,,,,,,,,,,,,,,,,,1,1,,,"J1772, NEMA 5-15",Non-Networked,,,,,,,,,200-9,38.899391999999999,-77.024384999999995,5/31/2011 0:00:00,1/10/2023 0:00:00,8/11/2023 19:46:24,PAY_GARAGE,,,,,,,Metro Center / 15th Street,Metro Center / 15th Street,38.897799999999997,-77.028099999999995,0.198000000000000,36833,185980.587599999998929
3812,1,3812,43836,One Parking,ELEC,555 12th St NW,Washington,DC,20004,,Level P3,US,202-393-0649,E,,Public,,Restricted to garage hours; pay lot; leave key,,P,,,,,,,,,,,,,,,,,,,,13,,,J1772,Non-Networked,,,Free,,,,,,200-9,38.896703000000002,-77.027620999999996,3/1/2012 0:00:00,8/10/2023 0:00:00,8/10/2023 16:58:49,PAY_GARAGE,,,,,,False,Metro Center / 15th Street,Metro Center / 15th Street,38.897799999999997,-77.028099999999995,0.198000000000000,36833,185980.587599999998929
5104,1,5104,48074,Florida Power & Light - Washington DC Office,ELEC,801 Pennsylvania Ave NW,Washington,DC,20004,,Suite 220,US,,E,,Private,,,,T,,,,,,,,,,,,,,,,,,,,1,,,J1772,Non-Networked,,,,,,,,,200-9,38.894354000000000,-77.023723000000004,1/1/2012 0:00:00,4/8/2021 0:00:00,2/15/2023 22:45:41,UTILITY,,,,,,,Gallery Place / Chinatown,Gallery Place / Chinatown,38.899200000000000,-77.021799999999999,0.205600000000000,40394,196512.243900000001304
6857,1,6857,56564,LENKIN CO 1300 B,ELEC,1300 19th St NW,Washington,DC,20036,,,US,888-758-4389,E,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint Network,USCPIL735951,http://www.chargepoint.com/,,,,,,,GPS,38.907454000000001,-77.043970999999999,1/31/2012 0:00:00,8/16/2023 0:00:00,8/16/2023 0:12:20,,,,,,,,Dupont Circle,Dupont Circle,38.908700000000003,-77.044600000000003,0.192300000000000,28687,149193.469699999986915
8181,1,8181,64548,TOWER COMPANIES 1828 L STREET,ELEC,1828 L St NW,Washington,DC,20036,,,US,888-758-4389,E,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint Network,USCPIL748021,http://www.chargepoint.com/,,,,,,,GPS,38.903466000000002,-77.042897999999994,12/9/2014 0:00:00,8/16/2023 0:00:00,8/16/2023 0:12:39,,,,,,,,Farragut Square / 19th Street,Farragut Square / 19th Street,38.902900000000002,-77.041799999999995,0.268500000000000,33429,124508.526199999992969
8182,1,8182,64549,TOWER COMPANIES 1707 L STREET 1,ELEC,1707 L St NW,Washington,DC,20036,,,US,888-758-4389,E,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint Network,USCPIL333101,http://www.chargepoint.com/,,,,,,,GPS,38.903979000000000,-77.039103999999995,12/9/2014 0:00:00,8/16/2023 0:00:00,8/16/2023 0:08:44,,,,,,,,Farragut Square / 19th Street,Farragut Square / 19th Street,38.902900000000002,-77.041799999999995,0.268500000000000,33429,124508.526199999992969
9194,1,9194,68205,1212 NEW YORK STATION 1,ELEC,1212 New York Ave NW,Washington,DC,20005,,,US,888-758-4389,E,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint Network,USCPIL120745,http://www.chargepoint.com/,,,,,,,GPS,38.900027999999999,-77.028756999999999,7/10/2015 0:00:00,8/16/2023 0:00:00,8/16/2023 0:00:48,,,,,,,,Metro Center / 15th Street,Metro Center / 15th Street,38.897799999999997,-77.028099999999995,0.198000000000000,36833,185980.587599999998929
10680,1,10680,76344,JBG SMITH 1717K,ELEC,1717 K St NW,Washington,DC,20006,,,US,888-758-4389,E,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint Network,USCPIL120533,http://www.chargepoint.com/,,,,,,,GPS,38.902774000000001,-77.040063000000004,6/17/2016 0:00:00,8/16/2023 0:00:00,8/16/2023 0:00:46,,,,,,,,Farragut Square / 19th Street,Farragut Square / 19th Street,38.902900000000002,-77.041799999999995,0.268500000000000,33429,124508.526199999992969
10681,1,10681,76345,JBG SMITH 1666K,ELEC,1666 K St NW,Washington,DC,20006,,,US,888-758-4389,E,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint Network,USCPIL120445,http://www.chargepoint.com/,,,,,,,GPS,38.902161999999997,-77.038098000000005,6/17/2016 0:00:00,8/16/2023 0:00:00,8/16/2023 0:00:45,,,,,,,,Farragut Square / 19th Street,Farragut Square / 19th Street,38.902900000000002,-77.041799999999995,0.268500000000000,33429,124508.526199999992969
10682,1,10682,76346,JBG SMITH 1700K,ELEC,1700 K St NW,Washington,DC,20006,,,US,888-758-4389,E,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint Network,USCPIL120393,http://www.chargepoint.com/,,,,,,,GPS,38.902275000000003,-77.039946000000000,6/17/2016 0:00:00,8/16/2023 0:00:00,8/16/2023 0:00:41,,,,,,,,Farragut Square / 19th Street,Farragut Square / 19th Street,38.902900000000002,-77.041799999999995,0.268500000000000,33429,124508.526199999992969
15008,1,15008,94632,1255 22ND ST STATION 2,ELEC,1255 22nd St NW,Washington,DC,20037,,,US,888-758-4389,E,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,1,,,J1772,ChargePoint Network,USCPIL353241,http://www.chargepoint.com/,,,,,,,GPS,38.906672000000000,-77.048362999999995,4/6/2018 0:00:00,8/16/2023 0:00:00,8/16/2023 0:08:52,,,,,,,,Dupont Circle,Dupont Circle,38.908700000000003,-77.044600000000003,0.192300000000000,28687,149193.469699999986915
15069,1,15069,94808,World Bank,ELEC,1225 Connecticut Ave NW,Washington,DC,20036,,,US,,E,,Private,,Employee use only,,P,,,,,,,,,,,,,,,,,,,,2,,,J1772,EV Connect,,http://evconnect.com/,,,,,,,200-9,38.907015999999999,-77.041110000000003,9/9/2015 0:00:00,4/8/2020 0:00:00,3/11/2021 23:22:17,OFFICE_BLDG,,,,,,,Dupont Circle,Dupont Circle,38.908700000000003,-77.044600000000003,0.192300000000000,28687,149193.469699999986915
15070,1,15070,94809,World Bank,ELEC,1818 H S NW,Washington,DC,20433,,,US,,E,,Private,,Employee use only,,P,,,,,,,,,,,,,,,,,,,,4,,,J1772,EV Connect,,http://evconnect.com/,,,,,,,200-9,38.898454999999998,-77.042721000000000,9/11/2015 0:00:00,4/8/2020 0:00:00,3/11/2021 23:22:17,OFFICE_BLDG,,,,,,,Foggy Bottom,Foggy Bottom,38.897300000000001,-77.044600000000003,0.257500000000000,40736,158171.452599999989616
15071,1,15071,94811,World Bank,ELEC,2121 Pennsylvania Ave NW,Washington,DC,20433,,,US,,E,,Private,,Employee use only,,P,,,,,,,,,,,,,,,,,,,,4,,,J1772,EV Connect,,http://evconnect.com/,,,,,,,200-9,38.901985000000003,-77.047702999999998,7/16/2015 0:00:00,4/8/2020 0:00:00,3/11/2021 23:22:17,OFFICE_BLDG,,,,,,,Farragut Square / 19th Street,Farragut Square / 19th Street,38.902900000000002,-77.041799999999995,0.268500000000000,33429,124508.526199999992969
15524,1,15524,98677,Office of Personnel Management,ELEC,1900 E St NW,Washington,DC,20415,,,US,,E,,Private,,Fleet use only,,FG,GSA,,,,,,,,,,,,,,,,,,,1,,,J1772,Non-Networked,,,,,,,,,GPS,38.895350999999998,-77.044604000000007,4/1/2018 0:00:00,2/22/2021 0:00:00,3/11/2021 23:22:17,FED_GOV,,,,,,,Foggy Bottom,Foggy Bottom,38.897300000000001,-77.044600000000003,0.257500000000000,40736,158171.452599999989616
15532,1,15532,98694,U.S. Department of Commerce,ELEC,1401 Constitution Ave NW,Washington,DC,20230,,,US,,E,,Private,,Fleet use only,,FG,DOC,,,,,,,,,,,,,,,,,,,1,,,J1772,Non-Networked,,,,,,,,,GPS,38.893700000000003,-77.032899999999998,4/1/2018 0:00:00,2/22/2021 0:00:00,3/11/2021 23:22:17,FED_GOV,,,,,,,Federal Triangle,Federal Triangle,38.893400000000000,-77.028099999999995,0.125200000000000,8307,66352.458599999998114
15781,1,15781,99693,World Bank,ELEC,1850 I St NW,Washington,DC,20006,,,US,,E,,Private,,Employee use only,,P,,,,,,,,,,,,,,,,,,,,2,,,J1772,EV Connect,,http://evconnect.com/,,,,,,,200-9,38.901029000000001,-77.042788999999999,6/12/2015 0:00:00,4/8/2020 0:00:00,3/11/2021 23:22:17,OFFICE_BLDG,,,,,,,Farragut Square / 19th Street,Farragut Square / 19th Street,38.902900000000002,-77.041799999999995,0.268500000000000,33429,124508.526199999992969
16483,1,16483,102534,TOWER COMPANIES 1909K STATION 2,ELEC,1909 K St NWUS-29,Washington,DC,20006,,,US,888-758-4389,E,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint Network,USCPIL620481,http://www.chargepoint.com/,,,,,,,GPS,38.903042999999997,-77.044211000000004,8/31/2018 0:00:00,8/16/2023 0:00:00,8/16/2023 0:11:11,,,,,,,,Farragut Square / 19th Street,Farragut Square / 19th Street,38.902900000000002,-77.041799999999995,0.268500000000000,33429,124508.526199999992969
16841,1,16841,104284,CARR PROPERTIES P2 6540,ELEC,1100 15th St NW,Washington,DC,20005,,,US,888-758-4389,E,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint Network,USCPIL183941,http://www.chargepoint.com/,,,,,,,GPS,38.903984999999999,-77.034960999999996,10/20/2018 0:00:00,8/16/2023 0:00:00,8/16/2023 0:05:32,,,,,,,,McPherson Square / Franklin Park,McPherson Square / Franklin Park,38.902600000000000,-77.031999999999996,0.232700000000000,31485,135322.455699999991339
18026,1,18026,113650,"The Donovan, a Kimpton Hotel - Tesla Destination",ELEC,1155 14th St NW,Washington,DC,20005,,,US,"202-737-1200, 877-798-3752",E,,Public,,,,P,,,,,,,,,,,,,,,,,,,,3,,,"J1772, Tesla",Tesla Destination,500594,https://www.tesla.com/destination-charging,Free,,,,,,200-9,38.904958000000001,-77.031772000000004,11/19/2015 0:00:00,10/6/2022 0:00:00,1/18/2023 15:15:20,HOTEL,,,,,,,McPherson Square / Franklin Park,McPherson Square / Franklin Park,38.902600000000000,-77.031999999999996,0.232700000000000,31485,135322.455699999991339
18027,1,18027,113651,Park Hyatt Washington - Tesla Destination,ELEC,1201 24th St NW,Washington,DC,20037,,,US,"202-789-1234, 877-798-3752",E,,Public,,,,P,,,,,,,,,,,,,,,,,,,,4,,,"J1772, Tesla",Tesla Destination,507515,https://www.tesla.com/destination-charging,Free,,,,,,200-9,38.905820400000003,-77.051208500000001,5/14/2018 0:00:00,10/6/2022 0:00:00,1/18/2023 15:15:20,HOTEL,,,,,,,West End,West End,38.905099999999997,-77.050700000000006,0.080900000000000,13266,163906.759799999999814
18031,1,18031,113655,The Kimpton George Hotel - Tesla Destination,ELEC,15 E St NW,Washington,DC,20001,,,US,"202-347-4200, 877-798-3752",E,,Public,,,,P,,,,,,,,,,,,,,,,,,,,2,,,"J1772, Tesla",Tesla Destination,500665,https://www.tesla.com/destination-charging,Free,,,,,,200-9,38.896372999999997,-77.010017000000005,11/30/2015 0:00:00,10/6/2022 0:00:00,1/18/2023 15:15:20,HOTEL,,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
18032,1,18032,113656,Courtyard Washington Embassy Row - Tesla Destination,ELEC,1600 Rhode Island Ave NW,Washington,DC,20036,,,US,"202-293-8000, 877-798-3752",E,,Public,,,,P,,,,,,,,,,,,,,,,,,,,2,,,Tesla,Tesla Destination,500801,https://www.tesla.com/destination-charging,Free,,,,,,200-9,38.906641000000000,-77.036861000000002,1/25/2016 0:00:00,10/6/2022 0:00:00,1/18/2023 15:15:20,HOTEL,,,,,,,Farragut Square / 19th Street,Farragut Square / 19th Street,38.902900000000002,-77.041799999999995,0.268500000000000,33429,124508.526199999992969
18034,1,18034,113658,One Parking 2000 K - Tesla Destination,ELEC,2000 K St NW,Washington,DC,20006,,,US,"202-298-7125, 877-798-3752",E,,Public,,,,P,,,,,,,,,,,,,,,,,,,,1,,,Tesla,Tesla Destination,511035,https://www.tesla.com/destination-charging,Free,,,,,,200-9,38.902044400000001,-77.045323699999997,6/12/2018 0:00:00,10/6/2022 0:00:00,1/18/2023 15:15:20,PARKING_GARAGE,,,,,,,Farragut Square / 19th Street,Farragut Square / 19th Street,38.902900000000002,-77.041799999999995,0.268500000000000,33429,124508.526199999992969
18035,1,18035,113659,Embassy Row Hotel - Tesla Destination,ELEC,2015 Massachusetts Ave NW,Washington,DC,20036,,,US,"202-265-1600, 877-798-3752",E,,Public,,,,P,,,,,,,,,,,,,,,,,,,,4,,,"J1772, Tesla",Tesla Destination,499916,https://www.tesla.com/destination-charging,Free,,,,,,200-9,38.910623000000001,-77.045744999999997,10/28/2015 0:00:00,10/6/2022 0:00:00,1/18/2023 15:15:20,HOTEL,,,,,,,Dupont Circle,Dupont Circle,38.908700000000003,-77.044600000000003,0.192300000000000,28687,149193.469699999986915
18037,1,18037,113661,State Plaza Hotel - Tesla Destination,ELEC,2117 E St NW,Washington,DC,20037,,,US,"202-861-8200, 877-798-3752",E,,Public,,,,P,,,,,,,,,,,,,,,,,,,,4,,,"J1772, Tesla",Tesla Destination,508700,https://www.tesla.com/destination-charging,Free,,,,,,200-9,38.896217100000001,-77.047623000000002,10/3/2018 0:00:00,10/6/2022 0:00:00,1/18/2023 15:15:20,HOTEL,,,,,,,Foggy Bottom,Foggy Bottom,38.897300000000001,-77.044600000000003,0.257500000000000,40736,158171.452599999989616
18038,1,18038,113662,Kimpton Hotel Palomar Washington DC - Tesla Destination,ELEC,2121 P St NW,Washington,DC,20037,,,US,"202-448-1800, 877-798-3752",E,,Public,,,,P,,,,,,,,,,,,,,,,,,,,2,,,"J1772, Tesla",Tesla Destination,500852,https://www.tesla.com/destination-charging,Free,,,,,,200-9,38.909852000000001,-77.047398999999999,12/23/2015 0:00:00,10/6/2022 0:00:00,1/18/2023 15:15:20,HOTEL,,,,,,,Dupont Circle,Dupont Circle,38.908700000000003,-77.044600000000003,0.192300000000000,28687,149193.469699999986915
18043,1,18043,113668,Hyatt Regency Washington on Capitol Hill - Tesla Destination,ELEC,400 New Jersey Ave NW,Washington,DC,20001,,,US,"202-737-1234, 877-798-3752",E,,Public,,,,P,,,,,,,,,,,,,,,,,,,,4,,,"J1772, Tesla",Tesla Destination,513307,https://www.tesla.com/destination-charging,Free,,,,,,200-9,38.895083000000000,-77.011283000000006,4/19/2016 0:00:00,10/6/2022 0:00:00,1/18/2023 15:15:20,HOTEL,,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
18044,1,18044,113669,The Liaison Capitol Hill - Tesla Destination,ELEC,415 New Jersey Ave NW,Washington,DC,20001,,,US,"202-638-1616, 877-798-3752",E,,Public,,,,P,,,,,,,,,,,,,,,,,,,,4,,,Tesla,Tesla Destination,510266,https://www.tesla.com/destination-charging,Free,,,,,,200-9,38.895470099999997,-77.010994900000000,4/13/2018 0:00:00,10/6/2022 0:00:00,1/18/2023 15:15:20,HOTEL,,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
