lot_id,lot_polygon,lot_geometry,lot_centroid,lot_sqft,BLOCKID10,num_spaces,num_handicap_spaces,has_ev_charging,format,type,category,rate_card,open_hours,operator,weekday_averages,weekend_averages
52550,e}llFvfcuM?z@uA??aAj@?`@WF\,"POLYGON((-77.02637 38.90151, -77.02649 38.90168, -77.02649 38.9019, -77.02682 38.9019, -77.02682 38.90147, -77.02652 38.90147, -77.02637 38.90151))",POINT(-77.026638625498 38.901670185923),15940,110010101001024,116,0,false,Subterranean,Non-restricted,Public Parking,"1 Hour: $12, Daily Max: $20, Sat-Sun: $10, Monthly: $315-$630",Mon-Sun: 24 Hours,Impark,"71,69,68,69,70,70,70,69,68,68,65,64,63,63,63,60,60,64,68,67,68,68,70,72","71,70,69,69,69,69,69,69,67,65,62,59,57,57,57,57,57,61,64,63,64,66,67,68"
87150,mbmlF|tfuM?{AHInA??dByA?,"POLYGON((-77.04415 38.90186, -77.04364 38.90186, -77.04364 38.90226, -77.04369 38.90231, -77.04415 38.90231, -77.04415 38.90186))",POINT(-77.0438975180499 38.9020834001835),23640,110010107001016,194,0,false,Subterranean,Non-restricted,Public Parking,"1 Hour: $15, Daily Max: $21, Monthly: $300, Tax Included",Mon-Fri: 6:30am-7pm,One Parking,"106,110,110,112,114,114,114,113,111,107,102,97,96,96,96,92,94,99,101,99,102,104,106,108","107,116,115,115,115,115,115,112,109,103,97,89,87,87,87,86,88,96,98,96,100,101,102,103"
87253,evllFjhfuM{A??eAzA??dA,"POLYGON((-77.04179 38.90035, -77.04179 38.90081, -77.04214 38.90081, -77.04214 38.90035, -77.04179 38.90035))",POINT(-77.041965 38.90058),16675,110010107001027,204,0,false,Subterranean,Non-restricted,Public Parking,"1 Hour: $12, Daily Max: $20, Early Bird (In By 8:30am): $15, Evening (In After 2pm / Out By 7pm): $10, Monthly: $340-$365, Tax Included",Mon-Fri: 7am-7pm,Penn Parking,"131,136,137,138,139,140,140,139,138,134,129,126,123,123,123,118,118,123,126,125,127,129,131,132","130,138,138,137,137,138,138,137,135,129,123,117,114,114,114,110,112,118,121,120,123,123,125,126"
116917,a|klFtqfuM@~Eo@??_Fl@???,"POLYGON((-77.04363 38.8964, -77.04475 38.8964, -77.04475 38.89616, -77.04363 38.89617, -77.04363 38.8964))",POINT(-77.044173 38.8962811),27262,110010108002010,110,1,false,Subterranean,Non-restricted,University,"10 Min: Free, 1 Hour: $10, 2 Hours: $17, Evening (In After 5pm): $12, Daily Max: $26, Event (Sat-Sun): $14, Tax Included",Mon-Fri: 7am-10pm,Colonial Parking,"65,69,69,70,70,70,70,70,69,67,66,65,62,61,61,58,57,59,61,60,62,63,65,66","66,71,71,71,71,71,71,71,69,65,63,60,56,56,57,54,54,57,59,58,60,61,62,64"
52560,ahnlFdvfuMgAcATc@?_@|@??~BKF??,"POLYGON((-77.04431 38.90827, -77.04367 38.90827, -77.04367 38.90858, -77.04383 38.90858, -77.04401 38.90869, -77.04435 38.90833, -77.04431 38.90827))",POINT(-77.0439425410214 38.9084333023325),20267,110010107002005,252,0,false,Subterranean,Non-restricted,Public Parking,"1 Hour: $13, Daily Max: $21, Early Bird (Enter Before 9:30am): $12, Evening (In After 6pm): $12, Weekend: $13, Monthly: $289.95, Monthly Reserved: $579.90, Tax Included","Mon-Fri: 7am-1am, Sat-Sun: 11am-1am",Colonial Parking,"161,161,162,160,163,167,168,166,165,161,155,147,140,140,140,134,136,145,150,147,151,155,158,164","161,161,161,158,159,164,164,162,159,149,142,130,121,120,120,118,125,135,140,139,143,146,149,156"
209094,}sllFtocuMF??JG@?M,"POLYGON((-77.02802 38.89999, -77.02801 38.89995, -77.02795 38.89995, -77.02795 38.89999, -77.02802 38.89999))",POINT(-77.0279826 38.8999708),269,110010058001006,11,0,false,Subterranean,Valet Only,Public Parking,"Daily Max: $20, Max (With Validation): $10","Tue-Thu: 5pm-9pm, Fri-Sat: 5pm-9:30pm",U-Street Parking,"7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7","7,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,7,6,6,6,6,6,6"
80142,shllFl}cuMp@??lBq@@?oB????,"POLYGON((-77.03071 38.89818, -77.0307 38.89793, -77.03015 38.89793, -77.03015 38.89818, -77.03071 38.89818))",POINT(-77.0304195 38.8980503),14371,110010058001020,58,0,false,Subterranean,Non-restricted,Public Parking,"1 Hour: $12, Daily Max: $20, Super Early Bird (In By 7:30am): $14, Early Bird (In By 9:30am): $16, Monthly: $295-$590",Mon-Fri: 6am-8pm,PMI,"33,34,34,34,34,35,34,34,34,34,33,32,32,32,32,31,31,33,33,32,33,32,33,33","33,35,34,34,34,34,34,34,33,32,31,30,29,29,29,29,30,31,32,31,31,31,31,32"
111268,utllFxtcuMCE]PI]\Qh@??b@[?,"POLYGON((-77.02877 38.89997, -77.02859 38.89997, -77.02859 38.90018, -77.02868 38.90033, -77.02883 38.90028, -77.02874 38.90013, -77.02877 38.90011, -77.02877 38.89997))",POINT(-77.0286907341772 38.9001377721519),6137,110010058001007,25,0,false,Subterranean,Non-restricted,Public Parking,"1 Hour: $13, 24 Hours: $18, Monthly: $321.34-$642.68, Tax Included",Mon-Fri: 6am-5pm,PMI,"16,17,17,17,17,17,17,17,17,17,17,16,16,16,16,15,15,15,15,15,16,16,16,17","16,17,17,17,17,17,17,17,17,17,16,16,15,15,15,15,15,15,15,15,15,16,15,16"
112973,cemlFblguM?hAkA??iAjA?,"POLYGON((-77.04786 38.90312, -77.04823 38.90312, -77.04823 38.90274, -77.04786 38.90274, -77.04786 38.90312))",POINT(-77.0480441991342 38.9029274891775),14562,110010107001007,59,0,false,Subterranean,Non-restricted,Public Parking,"1 Hour: $12, 2 Hours: $18, Daily Max: $21, Early Bird (Mon-Fri; In By 8:30am / Out After 2pm): $14, Oversize Add'l: $5, Monthly: $280, Tax Included","Mon-Fri: 6:30am-7pm, No Overnight Parking",SP Plus,"43,41,41,41,42,42,42,42,41,39,37,36,35,35,35,33,34,35,38,39,41,43,43,44","44,43,42,42,42,42,42,41,40,37,35,33,30,30,30,30,32,34,37,38,40,41,42,42"
80167,kzmlF~|euMiAh@W{A`Ae@^vA??,"POLYGON((-77.03988 38.9063, -77.04007 38.90663, -77.04053 38.90651, -77.04032 38.90614, -77.03988 38.9063))",POINT(-77.0401927 38.9063793),19211,110010107002012,77,0,false,Subterranean,Non-restricted,Public Parking,"1 Hour (Mon-Fri): $10, Max (Mon-Fri): $16, Early Bird (Mon-Fri; In By 10am): $13, Mon-Fri (In After 4pm): $5, Max (Sat-Sun): $5, Monthly: $285, Tax Included","Mon-Fri: 7am-9pm, Sat: 6:30am-7pm, Sun: 7am-7pm",Penn Parking,"42,46,47,47,48,48,48,48,49,48,47,44,42,42,42,39,39,41,43,41,43,43,43,43","44,49,49,48,49,49,49,49,48,47,45,41,38,38,38,37,38,40,41,39,41,42,43,42"
