segment_id,osm_id,segment_polyline,segment_geometry,segment_centroid,BLOCKID10,num_spaces,rate_card,weekday_averages,weekend_averages
1581982930480625135,6058793_0,e{llFfqeuMrCqA,"LINESTRING(-77.038436 38.901153, -77.038033 38.900408)",POINT(-77.0382344989429 38.9007805001732),110010107001026,15,"Mon-Fri (7am-9:30am): No Parking, Each Hour (Mon-Fri; 9:30am-4pm; 2 Hour Max): $2.30, Mon-Fri (4pm-6:30pm): No Parking, Each Hour (Mon-Sat; 6:30pm-10pm): $2.30, Mon-Sat (10pm-7am): Free, Each Hour (Sat; 7am-6:30pm; 2 Hour Max): $2.30, Sun: Free","75,75,73,73,74,76,75,71,0,0,0,24,25,29,33,40,49,0,0,0,73,78,86,90","81,83,82,82,84,85,85,82,80,74,61,53,51,52,53,57,65,69,72,66,70,75,81,83"
8417324634507886903,469165487_0,uzllFzweuMxB?,"LINESTRING(-77.039501 38.901069, -77.039501 38.900459)",POINT(-77.039501 38.900764),110010107001030,12,"Mon-Fri (7am-9:30am): No Parking, Each Hour (Mon-Fri; 9:30am-4pm; 2 Hour Max): $2.30, Mon-Fri (4pm-6:30pm): No Parking, Each Hour (Mon-Sat; 6:30pm-10pm): $2.30, Mon-Sat (10pm-7am): Free, Each Hour (Sat; 7am-6:30pm; 2 Hour Max): $2.30, Sun: Free","64,64,63,64,62,62,58,0,0,0,0,19,20,23,28,34,36,0,0,0,74,80,87,89","75,77,78,79,79,80,78,75,73,63,48,40,40,39,41,44,52,56,61,63,68,77,82,84"
-6460097633670116550,695842775_0,q|llFzifuM?rB?`A,"LINESTRING(-77.04238 38.901366, -77.043291 38.901366)",POINT(-77.0428355 38.9013660008849),110010107001017,14,"Mon-Fri (7am-9:30am): No Parking, Each Hour (Mon-Fri; 9:30am-4pm; 2 Hour Max): $2.30, Mon-Fri (4pm-6:30pm): No Parking, Each Hour (Mon-Sat; 6:30pm-10pm): $2.30, Mon-Sat (10pm-7am): Free, Each Hour (Sat; 7am-6:30pm; 2 Hour Max): $2.30, Sun: Free, Snow Emergency: No Parking, Mon (10pm-5am; Mar 01-Oct 31; Street Cleaning): No Parking, Holidays: Free","69,70,69,71,70,72,69,27,0,0,0,27,28,34,42,49,54,27,31,51,82,85,89,90","75,82,82,85,83,85,82,80,78,69,59,52,51,51,53,56,62,67,71,71,75,81,83,84"
-7540381229139596744,589533518_3,scllF|pguM?aC,"LINESTRING(-77.048629 38.897381, -77.047983 38.897381)",POINT(-77.048306 38.8973810004449),110010108003003,11,"2 Hours (Mon-Fri; 7am-8:30pm): Free, Mon-Fri (8:30pm-7am): Free, Sat-Sun: Free, Residential Permit Only: Free","74,73,72,72,73,75,74,65,58,46,35,34,35,40,47,53,59,61,64,74,79,83,88,89","78,82,81,82,83,84,84,83,82,75,65,60,59,60,61,63,67,70,73,75,77,82,85,86"
-691223719531727462,296365924_0,isklFnkauMAxA,"LINESTRING(-77.017043 38.894769, -77.017493 38.894778)",POINT(-77.0172679999858 38.8947735002159),110010059001040,13,Government Vehicle Only: No Parking,"67,66,66,67,66,65,63,59,46,34,23,23,25,30,39,48,60,65,71,78,82,86,91,91","87,88,88,88,88,88,87,86,81,75,60,48,47,46,47,51,59,63,70,73,75,80,85,87"
1269049420824040505,50511196_0,gtklFbv`uMaE?,"LINESTRING(-77.013623 38.894925, -77.013616 38.895886)",POINT(-77.0136195000237 38.8954055000001),110010059001017,20,"Each Hour (Mon-Sat; 7am-6:30pm; 2 Hour Max): $2.30, Each Hour (Mon-Sat; 6:30pm-10pm): $2.30, Mon-Sat (10pm-7am): Free, Sun: Free","57,56,56,57,60,65,65,67,68,61,53,54,61,67,75,81,86,88,91,93,93,94,95,96","84,84,84,84,87,88,89,90,91,89,86,83,83,83,83,85,88,90,92,93,93,94,95,96"
-206298068607326853,6054255_5,elklFvqauMA`D,"LINESTRING(-77.018037 38.893633, -77.018845 38.893637)",POINT(-77.0184409999886 38.893635000696),110010059001040,13,Construction: No Parking,"67,66,65,66,68,69,67,63,56,45,34,34,38,45,55,65,74,78,84,89,91,92,94,95","83,86,86,86,87,88,88,86,85,80,69,61,59,59,61,65,72,79,84,86,88,90,92,93"
-6072623922193387040,987879162_0,wrllFzaduMr@lC,"LINESTRING(-77.030858 38.899796, -77.031569 38.899537)",POINT(-77.0312135006483 38.899666500539),110010101001028,12,"Mon-Sat: No Parking, Sun (8am-9:30pm): Free, Sun (9:30pm-8am): No Parking","72,71,71,71,72,74,69,64,61,53,40,39,41,44,49,53,55,55,55,65,77,82,87,90","77,74,75,75,77,78,77,74,74,66,52,42,42,42,41,43,47,49,49,54,57,64,70,72"
1419837125032662602,347003228_0,c|llFx{cuM?tE,"LINESTRING(-77.029885 38.901304, -77.030959 38.901304)",POINT(-77.030422 38.9013040012298),110010101001019,17,"Each Hour (Mon-Sat; 7am-6:30pm; 2 Hour Max): $2.30, Each Hour (Mon-Sat; 6:30pm-10pm): $2.30, Mon-Sat (10pm-7am): Free, Sun: Free","77,77,77,77,78,79,75,68,63,53,41,40,42,46,54,59,62,62,59,67,75,79,83,85","77,78,78,78,82,81,80,77,74,66,51,42,42,44,44,47,53,57,52,52,60,67,73,76"
-4194244768193577692,74100353_0,wpllFtfduMAEQo@Ka@IYOk@,"LINESTRING(-77.031635 38.89948, -77.030837 38.899767)",POINT(-77.0312360008063 38.8996235006789),110010058001009,14,"Mon-Sat: No Parking, Sun (8am-9:30pm): Free, Sun (9:30pm-8am): No Parking","68,68,68,68,69,71,66,57,53,45,34,33,36,39,44,48,50,50,49,60,74,79,85,88","74,73,73,74,76,78,76,72,76,68,54,46,44,45,44,45,49,52,53,56,53,61,64,66"
