OID_,Join_Count,TARGET_FID,ADDEDBY,ADDTOGIS,ARMLENGTH1_DESC,ARMLENGTH2_DESC,ARMSTYLE_DESC,ASSETSTATUS_DESC,ASSETTYPE,CCT_DESC,CONDITION_DESC,CROSSSTREET,FACILITYID,FEEDMANHOLE_DESC,FIXTURESTYLE_DESC,GLOBALID,HOUSENO,INOPERATION,ISMETERED_DESC,ISMODIFIED_DESC,LASTMODIFIED,LASTPAINTED,LEDINOPERATION,LIGHTHISTORY,LIGHTMANUFACTURER_DESC,LIGHTTYPE_DESC,NUMBERLIGHTS,NUMBERARMS_DESC,OTHEREQUIPMENT,OWNER_DESC,PEPCOLIGHTID,POLECOLOR_DESC,POLECOMPOSITION_DESC,POLEHEIGHT_DESC,POLETYPE_DESC,POWERFEED_DESC,PROXIMITY_DESC,QUADRANT_DESC,RMS_DESC,ROADCLASSIFICATION_DESC,SHIELD_DESC,STREETLIGHTID,STREETNAME,STREETSEGMID,TBASETYPE_DESC,TRAFFICCOMBO,WARD,WATTAGE1,WATTAGE2,WHATMODIFIED,WHYINACTIVE,SUBBLOCKKEY,XCOORD,YCOORD,GIS_ID,CREATOR,CREATED,EDITOR,EDITED,geoName,customGeo,centrLat,centrLon,sqmi,destin,dest_sqmi
1185,1,12648546,Osmose,4/22/2007 0:00:00,N/A,N/A,N/A,Active,1,N/A,,2ND ST,60206,,Posttop,,100,,Not Metered,NO,,,,7/25/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,1,N/A,NO,DDOT,N/A,,Cast Iron,16 ft,Upright,Underground,Block,NW,Not Controlled,Minor Arterial,None,60206,E ST,11332,N/A,NO,6,400,N/A,N/A,N/A,bfda131ba019c86b4f7dc4ff17bb50dd,-77.012924670000004,38.896049689999998,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
1187,1,12648548,Osmose,4/19/2007 0:00:00,8,N/A,Simple Pendant,Active,1,N/A,,H ST,60016,,Cobrahead Semi Cutoff,,0,,Not Metered,NO,,,,7/29/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,1,1,NO,DDOT,N/A,Gray,Steel,30 ft,PP,Underground,SW Corner,NW,Not Controlled,Principal Arterial,None,60016,NORTH CAPITOL ST,11407,Non-Breakaway,YES,6,250,N/A,N/A,N/A,0357cf222e40b7897ea43d00199a1f06,-77.009190259999997,38.900058760000000,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
1188,1,12648549,Osmose,4/22/2007 0:00:00,8,N/A,Simple Pendant,Active,1,N/A,Good Condition,2ND ST,60791,,Cobrahead Cutoff,,0,,Not Metered,NO,,,,7/25/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,1,1,YES,DDOT,N/A,Black,Steel,30 ft,PP,Underground,SW Corner,NW,Not Controlled,Minor Arterial,None,60791,E ST,2107,Non-Breakaway,YES,6,400,N/A,N/A,N/A,6318b38c1bcd94b00326c20f3de496a2,-77.013777709999999,38.896022559999999,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
1191,1,12648552,Osmose,4/30/2007 0:00:00,N/A,N/A,N/A,Active,1,N/A,Need Inspection in 2 years,H ST,60763,,Posttop,,700,,Not Metered,NO,,,,7/25/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,1,N/A,NO,DDOT,N/A,Gray,Cast Iron,18 ft,Upright,Underground,Block,NW,Not Controlled,Minor Arterial,None,60763,NEW JERSEY AVE,10591,N/A,NO,6,250,N/A,N/A,N/A,c6cc54da75b57f9cd40720c623c8d986,-77.012810040000005,38.899617010000000,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
1207,1,12648568,Osmose,4/23/2007 0:00:00,8,N/A,Simple Pendant,Active,1,N/A,Good Condition,MASSACHUSETTS AVE,60381,,Cobrahead Semi Cutoff,,45,,Not Metered,NO,,,,7/27/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,1,1,NO,DDOT,N/A,Gray,Steel,30 ft,PP,Underground,Center Island,NW,Not Controlled,Local,None,60381,G ST,2440,Non-Breakaway,NO,6,400,N/A,N/A,N/A,7647c72f69a17a872f7a33fcdd71a1df,-77.011726260000003,38.898815380000002,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
1261,1,12648623,Osmose,4/21/2007 0:00:00,N/A,N/A,N/A,Active,1,N/A,,4TH ST,60151,,Posttop,,400,,Not Metered,NO,,,,7/22/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,2,N/A,NO,DDOT,N/A,,Cast Iron,20 ft,TW20,Underground,Block,NW,Not Controlled,Collector,None,60151,INDIANA AVE,12329,N/A,NO,6,400,400,N/A,N/A,7ce01fda4f7862dedace7afd5d4861de,-77.016878309999996,38.894706929999998,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
1262,1,12648624,Osmose,4/22/2007 0:00:00,N/A,N/A,N/A,Active,1,N/A,,1ST ST,60219,,Posttop,,100,,Not Metered,NO,,,,7/25/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,1,N/A,NO,DDOT,N/A,,Cast Iron,16 ft,Upright,Underground,Block,NW,Not Controlled,Minor Arterial,None,60219,E ST,11332,N/A,NO,6,400,N/A,N/A,N/A,bfda131ba019c86b4f7dc4ff17bb50dd,-77.012624990000006,38.896211870000002,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
1285,1,12648647,Osmose,5/1/2007 0:00:00,N/A,N/A,N/A,Active,1,N/A,Good Condition,G ST,60915,,Posttop,,0,,Not Metered,NO,,,,7/27/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,2,N/A,NO,DDOT,N/A,Gray,Cast Iron,20 ft,TW20,Underground,Center Island,NW,Not Controlled,Principal Arterial,None,60915,MASSACHUSETTS AVE,3032,N/A,NO,6,400,400,N/A,N/A,da319a5ebf10a042607eeee406704359,-77.011829960000000,38.898500079999998,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
1294,1,12648656,Osmose,5/1/2007 0:00:00,8,N/A,Simple Pendant,Active,1,N/A,Good Condition,NEW JERSEY AVE,60913,,Cobrahead Cutoff,,0,,Not Metered,NO,,,,7/25/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,1,1,YES,DDOT,N/A,Gray,Steel,30 ft,PP,Underground,SE Corner,NW,Not Controlled,Principal Arterial,None,60913,MASSACHUSETTS AVE,7402,Non-Breakaway,YES,6,400,N/A,N/A,N/A,de0139c53924d7ff09e4c6bbaeb29425,-77.012187350000005,38.898635169999999,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
1295,1,12648657,Osmose,5/1/2007 0:00:00,8,N/A,Decorated Wrap,Active,1,3000,Good Condition,2ND ST,6U077,DDOT,Teardrop,,0,,Not Metered,YES,4/29/2021 0:00:00,4/29/2021 0:00:00,4/29/2021 0:00:00,"7/25/2016 Correct asset location. 6/7/2013 400H to 250H. PP replaced with arm, fixture.",King Luminaire,LED-Light Emitting Diode,1,1,NO,DDOT,N/A,Black,Steel,28 ft,PP,Underground,SW Corner,NW,Not Controlled,Principal Arterial,None,6U077,MASSACHUSETTS AVE,12918,Non-Breakaway,YES,6,200,N/A,"250H to 200L. PP 60907 replaced with arm, relocate",N/A,0d4ff2e3d29816e7051248bb2ac1a147,-77.013824439999993,38.899220530000001,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
1296,1,12648658,Osmose,5/1/2007 0:00:00,8,N/A,Decorated Wrap,Active,1,3000,Good Condition,2ND ST,6U078,DDOT,Teardrop,,0,,Not Metered,YES,4/29/2021 0:00:00,4/29/2021 0:00:00,4/29/2021 0:00:00,"7/25/2016 Correct asset location. 6/7/2013 PP replaced with arm, fixture, relocated.",King Luminaire,LED-Light Emitting Diode,1,1,YES,DDOT,N/A,Black,Steel,28 ft,PP,Underground,NW Corner,NW,Not Controlled,Principal Arterial,None,6U078,MASSACHUSETTS AVE,12918,Non-Breakaway,YES,6,200,N/A,"250H to 200L. PP 60897 replaced with arm, relocate",N/A,0d4ff2e3d29816e7051248bb2ac1a147,-77.013812959999996,38.899499790000000,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
1297,1,12648659,Osmose,5/1/2007 0:00:00,N/A,N/A,N/A,Active,1,N/A,,2ND ST,60896,,Posttop,,111,,Not Metered,NO,,,,7/25/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,2,N/A,NO,DDOT,N/A,,Cast Iron,20 ft,TW20,Underground,Front,NW,Not Controlled,Principal Arterial,None,60896,MASSACHUSETTS AVE,5498,N/A,NO,6,400,400,N/A,N/A,ed1d60aa21303566081754103f1688c5,-77.013317220000005,38.899310669999998,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
1298,1,12648660,Osmose,5/1/2007 0:00:00,N/A,N/A,N/A,Active,1,N/A,Good Condition,NEW JERSEY AVE,60894,,Posttop,,111,,Not Metered,NO,,,,7/25/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,2,N/A,NO,DDOT,N/A,Gray,Cast Iron,20 ft,TW20,Underground,Opposite,NW,Not Controlled,Principal Arterial,None,60894,MASSACHUSETTS AVE,5498,N/A,NO,6,400,400,N/A,N/A,ed1d60aa21303566081754103f1688c5,-77.012809950000005,38.899130560000003,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
1299,1,12648661,Osmose,5/1/2007 0:00:00,N/A,N/A,N/A,Active,1,N/A,Good Condition,G ST,60892,,Posttop,,0,,Not Metered,NO,,,,7/27/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,2,N/A,NO,DDOT,N/A,Gray,Cast Iron,20 ft,TW20,Underground,NW Corner,NW,Not Controlled,Principal Arterial,None,60892,MASSACHUSETTS AVE,7402,N/A,NO,6,400,400,N/A,N/A,de0139c53924d7ff09e4c6bbaeb29425,-77.011945290000000,38.898770319999997,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
